date,week_day,event,weather
01/03/2026,Sunday,NONE,NOT_RAINING
02/03/2026,Monday,NONE,RAINING
03/03/2026,Tuesday,NONE,NOT_RAINING
04/03/2026,Wednesday,SMALL_EVENT,NOT_RAINING
05/03/2026,Thursday,NONE,NOT_RAINING
06/03/2026,Friday,NONE,NOT_RAINING
07/03/2026,Saturday,NONE,NOT_RAINING
08/03/2026,Sunday,NONE,NOT_RAINING
09/03/2026,Monday,NONE,RAINING
10/03/2026,Tuesday,NONE,NOT_RAINING
11/03/2026,Wednesday,NONE,RAINING
12/03/2026,Thursday,NONE,RAINING
13/03/2026,Friday,SMALL_EVENT,NOT_RAINING
14/03/2026,Saturday,NONE,NOT_RAINING
15/03/2026,Sunday,NONE,NOT_RAINING
16/03/2026,Monday,NONE,NOT_RAINING
17/03/2026,Tuesday,NONE,NOT_RAINING
18/03/2026,Wednesday,NONE,NOT_RAINING
19/03/2026,Thursday,BIG_EVENT,NOT_RAINING
20/03/2026,Friday,NONE,NOT_RAINING
21/03/2026,Saturday,NONE,NOT_RAINING
22/03/2026,Sunday,NONE,NOT_RAINING
23/03/2026,Monday,NONE,NOT_RAINING
24/03/2026,Tuesday,NONE,RAINING
25/03/2026,Wednesday,NONE,RAINING
26/03/2026,Thursday,NONE,RAINING
27/03/2026,Friday,NONE,NOT_RAINING
28/03/2026,Saturday,NONE,NOT_RAINING
29/03/2026,Sunday,SMALL_EVENT,RAINING
30/03/2026,Monday,NONE,RAINING
31/03/2026,Tuesday,NONE,RAINING
01/04/2026,Wednesday,NONE,NOT_RAINING
02/04/2026,Thursday,NONE,NOT_RAINING
03/04/2026,Friday,NONE,NOT_RAINING
04/04/2026,Saturday,NONE,NOT_RAINING
05/04/2026,Sunday,NONE,NOT_RAINING
06/04/2026,Monday,SMALL_EVENT,NOT_RAINING
07/04/2026,Tuesday,NONE,NOT_RAINING
08/04/2026,Wednesday,NONE,NOT_RAINING
09/04/2026,Thursday,NONE,NOT_RAINING
10/04/2026,Friday,NONE,NOT_RAINING
11/04/2026,Saturday,NONE,RAINING
12/04/2026,Sunday,NONE,RAINING
13/04/2026,Monday,NONE,NOT_RAINING
14/04/2026,Tuesday,NONE,NOT_RAINING
15/04/2026,Wednesday,SMALL_EVENT,NOT_RAINING
16/04/2026,Thursday,NONE,NOT_RAINING
17/04/2026,Friday,NONE,NOT_RAINING
18/04/2026,Saturday,NONE,RAINING
19/04/2026,Sunday,NONE,RAINING
20/04/2026,Monday,BIG_EVENT,NOT_RAINING
21/04/2026,Tuesday,NONE,NOT_RAINING
22/04/2026,Wednesday,NONE,NOT_RAINING
23/04/2026,Thursday,NONE,NOT_RAINING
24/04/2026,Friday,NONE,NOT_RAINING
25/04/2026,Saturday,HOLIDAY,NOT_RAINING
26/04/2026,Sunday,NONE,NOT_RAINING
27/04/2026,Monday,NONE,RAINING
28/04/2026,Tuesday,NONE,NOT_RAINING
29/04/2026,Wednesday,NONE,NOT_RAINING
30/04/2026,Thursday,NONE,NOT_RAINING
